City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Date
bunia,cd,1.56,30.25,64.03,44.0,88.0,2.3,2019-03-26 22:35:17
pevek,ru,69.7,170.27,21.1,76.0,80.0,3.42,2019-03-26 22:35:17
saint-pierre,re,48.95,4.24,41.0,0.0,80.0,3.36,2019-03-26 22:32:05
kirakira,sb,-10.46,161.92,83.79,8.0,100.0,6.89,2019-03-26 22:35:18
shitanjing,cn,39.23,106.34,48.99,12.0,14.0,1.99,2019-03-26 22:32:45
gamba,ga,28.28,88.52,7.02,56.0,72.0,6.44,2019-03-26 22:35:19
ulcinj,me,41.93,19.22,55.4,40.0,37.0,17.22,2019-03-26 22:00:00
beringovskiy,ru,63.05,179.32,31.77,76.0,95.0,28.92,2019-03-26 22:35:19
victor harbor,au,-35.55,138.62,61.0,0.0,76.0,5.82,2019-03-26 22:33:55
ust-nera,ru,64.57,143.24,4.81,36.0,67.0,2.42,2019-03-26 22:35:49
gatton,au,-27.56,152.28,71.01,90.0,77.0,5.82,2019-03-26 22:35:00
capreol,ca,46.71,-80.92,36.0,75.0,29.0,16.11,2019-03-26 22:31:18
shibetsu,jp,44.15,142.46,28.4,75.0,86.0,13.87,2019-03-26 22:10:00
yumen,cn,40.29,97.04,39.96,12.0,56.0,17.74,2019-03-26 22:35:50
komsomolskiy,ru,67.55,63.78,29.97,88.0,94.0,15.5,2019-03-26 22:35:50
langenburg,ca,50.84,-101.7,37.48,0.0,88.0,4.76,2019-03-26 22:35:50
kachug,ru,53.96,105.89,0.76,8.0,57.0,2.53,2019-03-26 22:35:51
balaipungut,id,1.11,101.31,73.3,32.0,97.0,3.53,2019-03-26 22:35:51
nioro,ml,13.79,-15.05,74.56,0.0,43.0,8.23,2019-03-26 22:35:51
sobolevo,ru,54.43,31.9,19.44,24.0,70.0,3.42,2019-03-26 22:35:51
baykit,ru,61.68,96.39,5.8,0.0,63.0,3.09,2019-03-26 22:35:51
chapada dos guimaraes,br,-15.46,-55.75,87.8,20.0,70.0,8.05,2019-03-26 22:00:00
bandrele,yt,-12.91,45.19,82.4,0.0,83.0,6.93,2019-03-26 22:00:00
santa fe,pa,-31.62,-60.7,72.0,56.0,68.0,8.9,2019-03-26 22:31:02
biltine,td,14.53,20.93,70.2,0.0,40.0,5.55,2019-03-26 22:35:52
guia de isora,es,28.21,-16.78,64.4,20.0,68.0,6.93,2019-03-26 22:31:22
maragogi,br,-9.01,-35.22,79.33,88.0,93.0,5.21,2019-03-26 22:35:52
hofn,is,64.25,-15.21,39.42,0.0,92.0,15.61,2019-03-26 22:35:52
nouadhibou,mr,20.93,-17.03,66.2,0.0,88.0,9.17,2019-03-26 22:00:00
tabuk,sa,17.41,121.44,70.96,0.0,62.0,2.19,2019-03-26 22:35:52
mezhdurechensk,ru,53.69,88.07,8.86,0.0,67.0,2.19,2019-03-26 22:35:52
tayport,gb,56.45,-2.88,48.99,75.0,81.0,11.41,2019-03-26 22:35:06
sol-iletsk,ru,51.16,55.0,19.21,0.0,58.0,7.34,2019-03-26 22:35:53
ust-tsilma,ru,65.44,52.15,28.71,76.0,86.0,5.99,2019-03-26 22:34:34
smithers,ca,54.78,-127.17,50.0,40.0,37.0,2.42,2019-03-26 22:00:00
benguela,ao,-12.58,13.4,79.6,80.0,100.0,7.56,2019-03-26 22:35:53
havre,us,48.55,-109.68,60.01,1.0,41.0,16.11,2019-03-26 22:31:22
morondava,mg,-20.3,44.28,76.59,0.0,100.0,3.76,2019-03-26 22:35:53
kruisfontein,za,-34.0,24.73,58.9,12.0,85.0,8.23,2019-03-26 22:34:44
mount isa,au,-20.73,139.49,73.4,90.0,100.0,10.29,2019-03-26 22:00:00
digha,in,21.62,87.51,69.03,0.0,100.0,2.98,2019-03-26 22:35:54
chifeng,cn,42.27,118.96,26.64,0.0,54.0,6.22,2019-03-26 22:35:54
sept-iles,ca,50.2,-66.38,19.99,75.0,34.0,12.75,2019-03-26 22:33:26
kaeo,nz,-35.1,173.78,70.0,92.0,81.0,8.99,2019-03-26 22:08:05
namibe,ao,-15.19,12.15,76.59,20.0,100.0,8.34,2019-03-26 22:35:54
dnipryany,ua,46.75,33.27,42.84,76.0,79.0,6.67,2019-03-26 22:35:54
muncar,id,-8.43,114.34,77.71,32.0,100.0,1.3,2019-03-26 22:34:49
highland springs,us,37.55,-77.33,52.0,1.0,19.0,6.93,2019-03-26 22:35:27
barabai,id,-2.59,115.38,77.04,80.0,92.0,2.3,2019-03-26 22:35:55
corn island,ni,12.17,-83.04,81.54,80.0,94.0,14.27,2019-03-26 22:35:55
san quintin,mx,17.54,120.52,73.48,0.0,60.0,3.87,2019-03-26 22:35:55
college,us,64.86,-147.8,46.4,75.0,70.0,3.36,2019-03-26 22:36:00
bethel,us,60.79,-161.76,39.2,75.0,86.0,19.46,2019-03-26 22:05:00
waingapu,id,-9.65,120.26,76.59,36.0,100.0,3.98,2019-03-26 22:36:26
san ignacio,bo,-36.8,-72.03,86.0,0.0,23.0,4.7,2019-03-26 22:00:00
bandarbeyla,so,9.49,50.81,79.47,88.0,100.0,3.2,2019-03-26 22:34:15
shache,cn,38.42,77.24,33.03,24.0,77.0,3.2,2019-03-26 22:36:26
jacqueville,ci,5.21,-4.42,82.4,20.0,83.0,4.7,2019-03-26 22:00:00
toora-khem,ru,52.47,96.11,4.63,0.0,67.0,2.3,2019-03-26 22:36:27
abha,sa,18.22,42.5,60.8,0.0,82.0,8.05,2019-03-26 22:00:00
hayden,us,47.77,-116.79,55.99,75.0,80.0,13.87,2019-03-26 22:35:44
oppdal,no,62.6,9.69,28.93,8.0,86.0,7.9,2019-03-26 22:36:27
broome,au,52.47,1.45,48.99,0.0,81.0,9.01,2019-03-26 22:36:14
anuradhapura,lk,8.34,80.41,69.88,0.0,90.0,7.11,2019-03-26 22:36:27
wadenswil,ch,47.23,8.67,41.0,36.0,69.0,6.67,2019-03-26 22:35:15
kawalu,id,-7.38,108.21,69.43,68.0,97.0,1.3,2019-03-26 22:36:28
dingli,mt,35.86,14.38,57.0,0.0,87.0,2.24,2019-03-26 22:35:22
bonoua,ci,5.27,-3.6,82.4,20.0,83.0,4.7,2019-03-26 22:00:00
centereach,us,40.86,-73.1,46.99,20.0,17.0,14.99,2019-03-26 22:36:19
lavrentiya,ru,65.58,-170.99,33.12,88.0,95.0,31.27,2019-03-26 22:33:42
santa teresa,ph,10.26,-66.69,71.6,40.0,88.0,8.05,2019-03-26 22:00:00
luang prabang,la,19.89,102.14,69.57,76.0,92.0,1.74,2019-03-26 22:36:29
padang,id,-0.92,100.36,78.8,75.0,100.0,2.24,2019-03-26 21:00:00
zhigalovo,ru,54.81,105.15,2.34,20.0,63.0,2.19,2019-03-26 22:36:29
iquitos,pe,-3.75,-73.25,84.2,75.0,79.0,4.7,2019-03-26 22:00:00
yenagoa,ng,4.92,6.26,76.95,0.0,90.0,5.66,2019-03-26 22:36:30
jackson,us,35.61,-88.82,57.2,1.0,28.0,13.87,2019-03-26 22:32:21
alekseyevsk,ru,57.84,108.35,18.0,76.0,82.0,4.43,2019-03-26 22:36:30
vilhena,br,-12.74,-60.15,84.2,75.0,79.0,10.29,2019-03-26 21:00:00
mehamn,no,71.03,27.85,21.87,64.0,83.0,5.21,2019-03-26 22:35:26
maceio,br,-9.67,-35.74,79.15,92.0,87.0,6.44,2019-03-26 22:34:38
murdochville,ca,48.96,-65.49,16.33,56.0,60.0,16.06,2019-03-26 22:36:30
panzhihua,cn,26.59,101.72,62.05,0.0,43.0,5.21,2019-03-26 22:36:31
paraiso,mx,24.01,-104.61,80.6,75.0,11.0,9.17,2019-03-26 22:30:16
dubbo,au,-32.25,148.6,68.0,0.0,56.0,17.22,2019-03-26 22:22:00
adrar,dz,27.87,-0.29,66.2,40.0,77.0,8.05,2019-03-26 22:21:00
high rock,bs,26.63,-78.28,78.8,20.0,69.0,6.93,2019-03-26 22:00:00
oranjemund,na,-28.55,16.43,60.39,0.0,93.0,3.53,2019-03-26 22:36:31
hirado,jp,33.32,129.49,53.01,20.0,93.0,5.82,2019-03-26 22:25:56
nizwa,om,22.93,57.53,59.13,76.0,65.0,4.21,2019-03-26 22:36:04
tandil,ar,-37.33,-59.14,57.0,0.0,72.0,1.99,2019-03-26 22:30:20
upington,za,-28.46,21.24,75.2,0.0,29.0,2.75,2019-03-26 22:00:00
praia da vitoria,pt,38.73,-27.07,57.2,20.0,87.0,12.71,2019-03-26 22:30:51
kangasala,fi,61.46,24.07,24.8,0.0,73.0,4.7,2019-03-26 22:36:10
grindavik,is,63.84,-22.43,39.99,90.0,98.0,13.87,2019-03-26 22:29:43
champerico,gt,16.38,-93.6,89.6,75.0,38.0,18.34,2019-03-26 21:41:00
jhang,pk,33.67,72.7,52.33,0.0,65.0,3.09,2019-03-26 22:37:03
sao filipe,cv,14.9,-24.5,69.61,0.0,100.0,12.03,2019-03-26 22:35:20
markova,ru,52.21,104.21,10.4,0.0,85.0,4.47,2019-03-26 22:35:46
pedernales,do,0.07,-80.05,77.4,80.0,78.0,8.01,2019-03-26 22:37:03
los llanos de aridane,es,28.66,-17.92,64.4,80.0,77.0,20.8,2019-03-26 22:35:04
mahajanga,mg,-15.72,46.32,80.6,20.0,83.0,4.7,2019-03-26 22:00:00
marawi,sd,8.0,124.29,73.0,0.0,82.0,7.0,2019-03-26 22:32:00
kunya,ru,12.22,8.53,78.8,0.0,27.0,5.82,2019-03-26 22:00:00
morgan city,us,29.7,-91.21,72.0,1.0,40.0,12.75,2019-03-26 22:36:49
mildura,au,-34.18,142.16,53.6,0.0,58.0,4.7,2019-03-26 22:00:00
antofagasta,cl,-23.65,-70.4,66.2,20.0,72.0,13.87,2019-03-26 22:00:00
surt,ly,31.21,16.59,58.5,0.0,93.0,6.67,2019-03-26 22:37:05
sohag,eg,26.55,31.7,62.6,0.0,23.0,9.17,2019-03-26 21:00:00
abancay,pe,-13.64,-72.88,47.25,64.0,85.0,1.74,2019-03-26 22:37:05
granada,ni,11.93,-85.96,95.0,40.0,36.0,13.87,2019-03-26 22:00:00
provideniya,ru,64.42,-173.23,33.8,75.0,86.0,33.55,2019-03-26 22:00:00
richards bay,za,-28.77,32.06,68.13,92.0,90.0,4.32,2019-03-26 22:34:13
oriximina,br,-1.77,-55.87,82.3,12.0,77.0,4.88,2019-03-26 22:37:06
muros,es,42.77,-9.06,57.0,0.0,66.0,6.93,2019-03-26 22:32:46
neuquen,ar,-38.95,-68.06,71.6,0.0,26.0,8.05,2019-03-26 22:00:00
bretcu,ro,46.05,26.3,36.0,0.0,80.0,3.2,2019-03-26 22:36:57
camocim,br,-2.9,-40.84,78.3,92.0,90.0,4.09,2019-03-26 22:37:06
abnub,eg,27.27,31.15,60.8,0.0,38.0,9.17,2019-03-26 21:00:00
aquiraz,br,-3.9,-38.39,81.0,40.0,83.0,2.24,2019-03-26 22:28:13
manzanillo,mx,20.34,-77.12,72.9,44.0,100.0,4.09,2019-03-26 22:37:07
kolarovo,sk,56.34,84.94,28.0,0.0,79.0,2.24,2019-03-26 22:35:31
nhulunbuy,au,-12.18,136.78,80.6,92.0,94.0,11.25,2019-03-26 22:00:00
conde,br,-11.81,-37.61,81.09,88.0,88.0,7.11,2019-03-26 22:33:48
pachino,it,36.72,15.09,48.2,0.0,87.0,3.36,2019-03-26 22:34:58
lima,pe,-12.06,-77.04,75.2,0.0,69.0,10.29,2019-03-26 22:35:06
yeppoon,au,-23.13,150.74,80.6,92.0,78.0,9.17,2019-03-26 22:00:00
chisec,gt,15.81,-90.29,76.5,92.0,53.0,2.64,2019-03-26 22:37:08
nadym,ru,65.53,72.51,31.77,80.0,92.0,18.07,2019-03-26 22:37:08
kungurtug,ru,50.6,97.53,-4.19,0.0,62.0,2.53,2019-03-26 22:37:08
ibra,om,22.69,58.55,61.6,76.0,67.0,2.42,2019-03-26 22:37:08
half moon bay,us,37.46,-122.43,69.01,40.0,71.0,5.82,2019-03-26 22:33:09
uttarkashi,in,30.73,78.44,40.45,0.0,72.0,2.86,2019-03-26 22:37:08
zorritos,pe,-3.68,-80.68,89.6,75.0,33.0,5.82,2019-03-26 22:00:00
lubana,lv,0.23,29.1,59.8,0.0,92.0,2.53,2019-03-26 22:37:09
dalhousie,in,32.54,75.98,40.59,12.0,53.0,2.19,2019-03-26 22:37:09
nishihara,jp,35.74,139.53,55.99,20.0,46.0,10.29,2019-03-26 22:34:57
lazaro cardenas,mx,28.39,-105.62,82.4,75.0,30.0,14.99,2019-03-26 22:30:55
ilheus,br,-14.79,-39.05,82.4,20.0,83.0,8.05,2019-03-26 22:00:00
buchanan,lr,5.88,-10.05,78.8,40.0,94.0,5.88,2019-03-26 22:00:00
belyy yar,ru,53.6,91.39,15.8,0.0,100.0,2.53,2019-03-26 22:00:00
scarborough,tt,54.28,-0.41,48.2,0.0,70.0,9.17,2019-03-26 22:40:09
uni,ru,57.75,51.49,29.88,92.0,96.0,10.02,2019-03-26 22:42:53
lensk,ru,60.71,114.91,11.16,44.0,74.0,4.21,2019-03-26 22:38:21
wakema,mm,16.6,95.18,73.62,32.0,91.0,4.32,2019-03-26 22:42:53
nizhnedevitsk,ru,51.55,38.36,35.6,90.0,93.0,4.47,2019-03-26 22:00:00
awjilah,ly,29.14,21.3,52.11,0.0,53.0,2.3,2019-03-26 22:42:54
naliya,in,23.26,68.83,68.67,0.0,49.0,3.65,2019-03-26 22:42:54
barcelos,br,41.53,-8.62,66.0,0.0,22.0,9.17,2019-03-26 22:39:18
port blair,in,11.67,92.75,80.91,80.0,100.0,7.45,2019-03-26 22:42:54
port macquarie,au,-31.43,152.91,71.01,90.0,64.0,4.7,2019-03-26 22:40:05
gat,ly,14.69,-16.54,68.0,0.0,77.0,14.99,2019-03-26 22:00:00
evensk,ru,61.92,159.24,17.41,64.0,100.0,13.27,2019-03-26 22:39:48
codrington,ag,-28.95,153.24,69.8,90.0,94.0,11.41,2019-03-26 22:37:08
den helder,nl,52.96,4.76,46.4,90.0,87.0,8.05,2019-03-26 22:41:03
kurilsk,ru,45.23,147.88,32.35,64.0,89.0,16.84,2019-03-26 22:42:55
oranjestad,aw,12.52,-70.03,82.4,20.0,74.0,19.46,2019-03-26 22:00:00
puerto escondido,mx,15.86,-97.07,86.0,5.0,66.0,11.41,2019-03-26 21:45:00
kirovskiy,ru,45.09,133.51,28.26,0.0,63.0,3.76,2019-03-26 22:42:55
buraydah,sa,26.33,43.97,59.0,0.0,44.0,10.29,2019-03-26 22:00:00
nauta,pe,-4.51,-73.58,83.25,12.0,80.0,4.43,2019-03-26 22:42:55
khorramshahr,ir,30.43,48.18,60.8,0.0,77.0,2.24,2019-03-26 22:00:00
tazovskiy,ru,67.47,78.7,31.9,92.0,90.0,26.35,2019-03-26 22:42:56
presidencia roque saenz pena,ar,-26.79,-60.44,61.29,64.0,86.0,7.0,2019-03-26 22:42:56
quthing,ls,-30.4,27.7,45.76,56.0,100.0,1.97,2019-03-26 22:42:56
saint-francois,gp,46.42,3.91,39.2,0.0,69.0,8.05,2019-03-26 22:30:41
san cristobal,ec,-0.39,-78.55,66.2,75.0,72.0,11.41,2019-03-26 22:30:37
rio gallegos,ar,-51.62,-69.22,59.0,75.0,47.0,6.93,2019-03-26 22:00:00
alice springs,au,-23.7,133.88,57.2,32.0,58.0,5.82,2019-03-26 22:00:00
salym,ru,60.06,71.48,31.9,68.0,92.0,7.67,2019-03-26 22:42:57
vila franca do campo,pt,37.72,-25.43,57.2,20.0,71.0,11.41,2019-03-26 22:39:24
labe,gn,7.7,8.47,77.4,8.0,71.0,1.52,2019-03-26 22:42:57
viedma,ar,-40.81,-62.99,56.88,0.0,61.0,10.8,2019-03-26 22:42:57
bonthe,sl,7.53,-12.5,80.82,0.0,80.0,5.32,2019-03-26 22:42:57
husavik,is,50.56,-96.99,36.0,12.0,85.0,8.99,2019-03-26 22:35:30
thinadhoo,mv,0.53,72.93,82.75,36.0,100.0,5.77,2019-03-26 22:42:57
sterling,us,39.0,-77.4,48.99,1.0,31.0,12.75,2019-03-26 22:40:05
savannah bight,hn,16.45,-85.85,82.26,8.0,92.0,8.34,2019-03-26 22:40:33
nathdwara,in,24.93,73.82,53.55,0.0,55.0,2.53,2019-03-26 22:42:58
portland,au,45.52,-122.67,62.01,40.0,44.0,8.05,2019-03-26 22:41:58
vaitape,pf,-16.52,-151.75,81.99,64.0,100.0,3.98,2019-03-26 22:42:58
teahupoo,pf,-17.83,-149.27,87.8,75.0,62.0,10.29,2019-03-26 22:42:23
orcopampa,pe,-15.27,-72.34,37.75,92.0,91.0,2.3,2019-03-26 22:42:58
helena,us,46.59,-112.04,48.0,90.0,52.0,14.99,2019-03-26 22:42:17
ferrol,es,43.48,-8.23,52.0,0.0,61.0,3.36,2019-03-26 22:41:13
naryan-mar,ru,67.67,53.09,26.82,64.0,93.0,18.75,2019-03-26 22:43:29
turayf,sa,31.68,38.65,46.4,0.0,81.0,8.05,2019-03-26 22:00:00
lixourion,gr,38.2,20.43,55.99,0.0,76.0,5.21,2019-03-26 22:39:48
winchester,us,51.06,-1.31,48.99,0.0,86.0,1.12,2019-03-26 22:38:09
flin flon,ca,54.77,-101.88,44.6,75.0,52.0,8.05,2019-03-26 22:00:00
colares,pt,38.8,-9.45,68.0,0.0,30.0,13.87,2019-03-26 22:40:44
dubti,et,11.74,41.09,77.53,0.0,59.0,10.58,2019-03-26 22:43:30
qaqortoq,gl,60.72,-46.03,21.2,75.0,73.0,14.99,2019-03-26 21:50:00
cabo san lucas,mx,22.89,-109.91,84.0,75.0,36.0,5.82,2019-03-26 22:40:43
ostersund,se,63.18,14.64,30.2,75.0,80.0,9.17,2019-03-26 22:41:51
kyzyl-suu,kg,42.34,78.0,29.83,8.0,100.0,2.86,2019-03-26 22:43:30
shestakovo,ru,56.49,103.96,10.44,80.0,70.0,2.98,2019-03-26 22:43:30
kupang,id,-10.16,123.6,77.0,75.0,94.0,1.12,2019-03-26 22:00:00
birao,cf,10.3,22.78,73.08,36.0,71.0,3.65,2019-03-26 22:43:30
xai-xai,mz,-25.04,33.64,78.16,48.0,92.0,18.3,2019-03-26 22:43:31
cape canaveral,us,28.41,-80.6,73.99,1.0,73.0,6.93,2019-03-26 22:43:25
borda da mata,br,-22.27,-46.17,69.25,64.0,74.0,1.86,2019-03-26 22:43:31
najran,sa,17.54,44.22,77.0,5.0,47.0,8.05,2019-03-26 22:00:00
tahoua,ne,14.89,5.26,75.1,8.0,24.0,11.48,2019-03-26 22:43:31
hobyo,so,5.35,48.53,80.82,92.0,89.0,11.7,2019-03-26 22:43:31
nichinan,jp,31.65,131.31,50.0,0.0,76.0,9.17,2019-03-26 22:02:26
fukue,jp,35.03,136.69,54.0,0.0,53.0,6.93,2019-03-26 22:40:05
huejuquilla el alto,mx,22.63,-103.9,77.53,0.0,20.0,2.98,2019-03-26 22:43:31
fort payne,us,34.44,-85.72,62.6,90.0,48.0,10.29,2019-03-26 22:40:17
talnakh,ru,69.49,88.39,28.53,92.0,93.0,19.75,2019-03-26 22:39:48
frontera,mx,18.53,-92.64,80.6,75.0,69.0,13.87,2019-03-26 21:45:00
plastun,ru,44.76,136.29,26.37,0.0,44.0,8.23,2019-03-26 22:43:32
el tigre,ve,8.89,-64.25,87.16,0.0,32.0,10.8,2019-03-26 22:43:18
mitu,co,36.2,46.09,34.47,88.0,94.0,4.99,2019-03-26 22:43:32
castle rock,us,46.27,-122.91,62.01,75.0,44.0,6.93,2019-03-26 22:43:22
villa bruzual,ve,9.33,-69.12,83.7,12.0,60.0,2.42,2019-03-26 22:43:33
serik,tr,36.92,31.1,55.0,40.0,81.0,4.7,2019-03-26 22:20:00
avera,pf,33.19,-82.53,62.6,90.0,59.0,11.41,2019-03-26 22:39:40
amargosa,br,-13.03,-39.6,71.19,68.0,94.0,4.65,2019-03-26 22:41:20
davila,ph,18.47,120.58,69.8,20.0,88.0,2.24,2019-03-26 22:00:00
chengde,cn,40.97,117.93,44.95,0.0,36.0,1.63,2019-03-26 22:43:33
tessalit,ml,20.2,1.01,82.48,100.0,24.0,10.36,2019-03-26 22:43:33
bilibino,ru,68.06,166.44,20.11,68.0,80.0,3.65,2019-03-26 22:43:33
westport,ie,53.8,-9.52,50.0,80.0,77.0,1.01,2019-03-26 22:43:05
mandan,us,46.83,-100.89,43.0,90.0,100.0,14.99,2019-03-26 22:43:33
hollins,us,37.35,-79.95,55.4,20.0,26.0,11.41,2019-03-26 22:43:12
kiunga,pg,-6.12,141.3,82.3,0.0,82.0,2.86,2019-03-26 22:44:04
petropavlovsk-kamchatskiy,ru,53.05,158.65,26.6,0.0,49.0,13.42,2019-03-26 22:00:00
ahipara,nz,-35.17,173.16,73.21,88.0,69.0,17.29,2019-03-26 22:44:04
barranca de upia,co,4.57,-72.97,75.69,0.0,46.0,1.74,2019-03-26 22:44:05
zelenoborsk,ru,61.47,64.05,30.69,0.0,77.0,10.69,2019-03-26 22:44:05
los aquijes,pe,-14.1,-75.69,71.6,0.0,30.0,19.46,2019-03-26 22:00:00
stokmarknes,no,68.56,14.91,30.99,75.0,92.0,14.99,2019-03-26 22:32:21
libertador general san martin,ar,-23.81,-64.79,58.9,92.0,100.0,2.42,2019-03-26 22:44:06
semnan,ir,35.58,53.39,48.2,75.0,100.0,2.24,2019-03-26 22:00:00
castro,cl,-42.48,-73.76,66.2,0.0,59.0,6.93,2019-03-26 22:00:00
ketchikan,us,55.34,-131.65,51.8,40.0,62.0,20.8,2019-03-26 21:56:00
kulhudhuffushi,mv,6.62,73.07,84.42,0.0,100.0,3.98,2019-03-26 22:44:07
kathu,th,-27.7,23.05,64.99,0.0,50.0,2.86,2019-03-26 22:30:46
